BiModal

index_length    MPKI
7       18.353
8       15.212
9       12.896
10      11.581
11      10.707
12      10.199
13      9.893
14      9.834
15      9.763

gShare

index_length    history_bits    MPKI
7       2       18.602
7       4       20.212
7       6       21.534
8       2       15.616
8       4       15.882
8       6       17.525
9       2       12.413
9       4       13.242
9       6       14.208
9       8       15.144
10      2       10.490
10      4       11.361
10      6       11.304
10      8       12.178
11      2       9.432
11      4       9.308
11      6       9.385
11      8       9.837
11      10      10.459
12      2       8.846
12      4       8.311
12      6       8.330
12      8       8.313
12      10      8.695
13      2       8.535
13      4       7.827
13      6       7.394
13      8       7.254
13      10      7.402
13      12      7.728
14      2       8.368
14      4       7.489
14      6       6.950
14      8       6.690
14      10      6.815
14      12      6.931
15      2       8.275
15      4       7.388
15      6       6.738
15      8       6.418
15      10      6.269
15      12      6.286

Yeh Patt

index_length    history_bits    MPKI
7       2       20.388
7       4       17.643
7       6       16.170
8       2       17.118
8       4       14.510
8       6       13.312
9       2       14.893
9       4       12.389
9       6       11.354
9       8       10.278
10      2       13.181
10      4       10.844
10      6       9.890
10      8       8.922
11      2       12.354
11      4       10.004
11      6       9.119
11      8       8.179
11      10      7.720
12      2       11.831
12      4       9.470
12      6       8.648
12      8       7.758
12      10      7.348
13      2       11.454
13      4       9.125
13      6       8.363
13      8       7.505
13      10      7.124
13      12      6.803
14      2       11.222
14      4       8.952
14      6       8.205
14      8       7.360
14      10      6.990
14      12      6.681
15      2       11.151
15      4       8.899
15      6       8.155
15      8       7.311
15      10      6.942
15      12      6.633

Hybrid

index_length    history_bits    MPKI
7       2       18.355
7       4       20.048
7       6       21.318
8       2       15.239
8       4       15.213
8       6       16.595
9       2       11.877
9       4       12.185
9       6       12.909
9       8       13.421
10      2       10.039
10      4       9.579
10      6       10.150
10      8       10.278
11      2       9.202
11      4       8.330
11      6       8.389
11      8       8.239
11      10      8.729
12      2       9.015
12      4       7.588
12      6       7.153
12      8       6.981
12      10      7.332
13      2       8.807
13      4       7.293
13      6       6.786
13      8       6.297
13      10      6.351
13      12      6.610
14      2       8.684
14      4       7.100
14      6       6.536
14      8       6.016
14      10      5.821
14      12      6.003
15      2       8.499
15      4       7.054
15      6       6.473
15      8       6.035
15      10      5.614
15      12      5.688
