LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 27335.0, 1778700, 1.0, 27097.0, 225792, 146.0, 27607.0, 798976, -16777.0, -1.0, 150528, -2098.0, -1.0, 9408, 28055.0, 29567.0, 774400,
1, 1.0, 6643.0, 200704, 1.0, 6643.0, 28672, 63.0, 7153.0, 207872, -20971.0, -1.0, 200704, -2098.0, -1.0, 4096, 7601.0, 7992.0, 200704,
2, 1.0, 8921.0, 1679616, 1.0, 8629.0, 221184, 575.0, 9139.0, 192768, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 9587.0, 9951.0, 186624,
3, 1.0, 6643.0, 200704, 1.0, 6835.0, 114688, 63.0, 7345.0, 809984, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 7601.0, 9168.0, 802816,
4, 1.0, 6643.0, 200704, 1.0, 6835.0, 114688, 63.0, 7345.0, 809984, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 7601.0, 9168.0, 802816,
5, 1.0, 7987.0, 802816, 1.0, 7987.0, 114688, 255.0, 8497.0, 207872, -81787.0, -1.0, 802816, -2098.0, -1.0, 16384, 8945.0, 9336.0, 200704,
6, 1.0, 8921.0, 1679616, 1.0, 8629.0, 221184, 575.0, 9139.0, 192768, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 9587.0, 9951.0, 186624,
7, 1.0, 6643.0, 200704, 1.0, 6835.0, 114688, 63.0, 7345.0, 809984, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 7601.0, 9168.0, 802816,
8, 1.0, 7987.0, 802816, 1.0, 7987.0, 114688, 255.0, 8497.0, 207872, -81787.0, -1.0, 802816, -2098.0, -1.0, 16384, 8945.0, 9336.0, 200704,
9, 1.0, 8921.0, 1679616, 1.0, 8629.0, 221184, 575.0, 9139.0, 192768, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 9587.0, 9951.0, 186624,
