LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 38094, 0, 18.239215821389195, 49.75328947368421, 18.2387370389815,
1, 7949, 0, 9.862875833438169, 49.0, 9.861635220125786,
2, 19089, 0, 34.37057991513437, 49.52445652173913, 34.368779465688846,
3, 15899, 0, 19.724510975533054, 98.0, 19.72327044025157,
4, 15899, 0, 19.724510975533054, 98.0, 19.72327044025157,
5, 12749, 0, 24.598007686877402, 49.0, 24.596078431372547,
6, 19089, 0, 34.37057991513437, 49.52445652173913, 34.368779465688846,
7, 15899, 0, 19.724510975533054, 98.0, 19.72327044025157,
8, 12749, 0, 24.598007686877402, 49.0, 24.596078431372547,
9, 19089, 0, 34.37057991513437, 49.52445652173913, 34.368779465688846,
10, 15899, 0, 19.724510975533054, 98.0, 19.72327044025157,
11, 3569, 0, 47.12804707200897, 93.86160714285714, 47.114845938375346,
12, 8435, 0, 72.12803793716657, 88.02083333333334, 72.1194879089616,
13, 10695, 0, 29.322113136979898, 87.5, 29.319371727748695,
14, 14279, 0, 47.118145528398344, 93.86160714285714, 47.11484593837535,
15, 5361, 0, 58.49654915127775, 87.5, 58.485639686684074,
16, 8435, 0, 72.12803793716657, 88.02083333333334, 72.1194879089616,
17, 10695, 0, 29.322113136979898, 87.5, 29.319371727748695,
18, 5361, 0, 58.49654915127775, 87.5, 58.485639686684074,
19, 8435, 0, 72.12803793716657, 88.02083333333334, 72.1194879089616,
20, 10695, 0, 29.322113136979898, 87.5, 29.319371727748695,
21, 5361, 0, 58.49654915127775, 87.5, 58.485639686684074,
22, 8435, 0, 72.12803793716657, 88.02083333333334, 72.1194879089616,
23, 10695, 0, 29.322113136979898, 87.5, 29.319371727748695,
24, 3063, 0, 58.765915768854065, 87.890625, 58.746736292428196,
25, 10231, 0, 50.66953376991496, 56.25, 50.6645817044566,
26, 8159, 0, 38.43608285329084, 76.5625, 38.431372549019606,
27, 12255, 0, 58.7515299877601, 87.890625, 58.746736292428196,
28, 5111, 0, 61.357855605556644, 76.5625, 61.34585289514867,
29, 10231, 0, 50.66953376991496, 56.25, 50.6645817044566,
30, 8159, 0, 38.43608285329084, 76.5625, 38.431372549019606,
31, 5111, 0, 61.357855605556644, 76.5625, 61.34585289514867,
32, 10231, 0, 50.66953376991496, 56.25, 50.6645817044566,
33, 8159, 0, 38.43608285329084, 76.5625, 38.431372549019606,
34, 5111, 0, 61.357855605556644, 76.5625, 61.34585289514867,
35, 10231, 0, 50.66953376991496, 56.25, 50.6645817044566,
36, 8159, 0, 38.43608285329084, 76.5625, 38.431372549019606,
37, 5111, 0, 61.357855605556644, 76.5625, 61.34585289514867,
38, 10231, 0, 50.66953376991496, 56.25, 50.6645817044566,
39, 8159, 0, 38.43608285329084, 76.5625, 38.431372549019606,
40, 5111, 0, 61.357855605556644, 76.5625, 61.34585289514867,
41, 10231, 0, 50.66953376991496, 56.25, 50.6645817044566,
42, 8159, 0, 38.43608285329084, 76.5625, 38.431372549019606,
43, 5111, 0, 40.07043631383291, 50.0, 40.062597809076685,
44, 19447, 0, 18.511852727927188, 19.53125, 18.51090086384204,
45, 12255, 0, 25.589555283557733, 38.28125, 25.587467362924286,
46, 20447, 0, 40.064557147747834, 50.0, 40.06259780907669,
47, 9207, 0, 34.06104051265341, 38.28125, 34.05734144222416,
48, 19447, 0, 18.511852727927188, 19.53125, 18.51090086384204,
49, 12255, 0, 25.589555283557733, 38.28125, 25.587467362924286,
50, 9207, 0, 34.06104051265341, 38.28125, 34.05734144222416,
51, 19447, 0, 18.511852727927188, 19.53125, 18.51090086384204,
52, 12255, 0, 25.589555283557733, 38.28125, 25.587467362924286,
53, 18415, 0, 0.678794461037198, 0.762939453125, 0.6787576020851434,
