Layer	Compute_Cycles	Overall_Utilization
0	38094	18.24
1	7949	9.86
2	19089	34.37
3	15899	19.72
4	15899	19.72
5	12749	24.6
6	19089	34.37
7	15899	19.72
8	12749	24.6
9	19089	34.37
10	15899	19.72
11	3569	47.13
12	8435	72.13
13	10695	29.32
14	14279	47.12
15	5361	58.5
16	8435	72.13
17	10695	29.32
18	5361	58.5
19	8435	72.13
20	10695	29.32
21	5361	58.5
22	8435	72.13
23	10695	29.32
24	3063	58.77
25	10231	50.67
26	8159	38.44
27	12255	58.75
28	5111	61.36
29	10231	50.67
30	8159	38.44
31	5111	61.36
32	10231	50.67
33	8159	38.44
34	5111	61.36
35	10231	50.67
36	8159	38.44
37	5111	61.36
38	10231	50.67
39	8159	38.44
40	5111	61.36
41	10231	50.67
42	8159	38.44
43	5111	40.07
44	19447	18.51
45	12255	25.59
46	20447	40.06
47	9207	34.06
48	19447	18.51
49	12255	25.59
50	9207	34.06
51	19447	18.51
52	12255	25.59
53	18415	0.68
