LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 101752, 0, 0.31927639475145453, 12.404357280927837, 0.3192732569924225,
1, 155005, 0, 4.471186413341505, 12.404357280927837, 4.471157568094135,
2, 52175, 0, 13.04504072831816, 24.617513020833336, 13.044790708371663,
3, 52175, 0, 13.04504072831816, 24.617513020833336, 13.044790708371663,
4, 19955, 0, 32.8789776998246, 47.4609375, 32.87733012627781,
5, 19955, 0, 32.8789776998246, 47.4609375, 32.87733012627781,
6, 19955, 0, 32.8789776998246, 47.4609375, 32.87733012627781,
7, 19955, 0, 32.8789776998246, 47.4609375, 32.87733012627781,
8, 11259, 0, 54.036770583533176, 66.015625, 54.03197158081705,
9, 11259, 0, 54.036770583533176, 66.015625, 54.03197158081705,
10, 11259, 0, 54.036770583533176, 66.015625, 54.03197158081705,
11, 11259, 0, 54.036770583533176, 66.015625, 54.03197158081705,
12, 5629, 0, 23.023627642565287, 28.125, 23.019538188277085,
13, 5629, 0, 23.023627642565287, 28.125, 23.019538188277085,
14, 5629, 0, 23.023627642565287, 28.125, 23.019538188277085,
15, 5629, 0, 23.023627642565287, 28.125, 23.019538188277085,
16, 12271, 0, 0.0651943606878005, 0.1953125, 0.0651890482398957,
17, 12271, 0, 0.0651943606878005, 0.1953125, 0.0651890482398957,
18, 3067, 0, 0.06368193674600586, 0.19073486328125, 0.06366117992177314,
