LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 117840.0, 1330668, 1.0, 117900.0, 1332288, 26.0, 117962.0, 3252864, -16777.0, -1.0, 150528, -2098.0, -1.0, 1728, 39194.0, 118094.0, 3154239,
1, 1.0, 541119.0, 28387584, 1.0, 541179.0, 28422144, 575.0, 541241.0, 3252864, -104855.0, 519949.0, 3294514, -4195.0, -1.0, 36864, 180287.0, 541373.0, 3154239,
2, 1.0, 485517.0, 27878400, 1.0, 485577.0, 28016640, 1151.0, 485639.0, 1597440, -104855.0, 467304.0, 3283378, -16777.0, -1.0, 147456, 328423.0, 493455.0, 1548863,
3, 1.0, 485517.0, 27878400, 1.0, 485577.0, 28016640, 1151.0, 485639.0, 1597440, -104855.0, 467304.0, 3283378, -16777.0, -1.0, 147456, 328423.0, 493455.0, 1548863,
4, 1.0, 447029.0, 26873856, 1.0, 447057.0, 27131904, 2303.0, 447119.0, 770048, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 447119.0, 458782.0, 746496,
5, 1.0, 447029.0, 26873856, 1.0, 447057.0, 27131904, 2303.0, 447119.0, 770048, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 447119.0, 458782.0, 746496,
6, 1.0, 447029.0, 26873856, 1.0, 447057.0, 27131904, 2303.0, 447119.0, 770048, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 447119.0, 458782.0, 746496,
7, 1.0, 447029.0, 26873856, 1.0, 447057.0, 27131904, 2303.0, 447119.0, 770048, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 447119.0, 458782.0, 746496,
8, 1.0, 416501.0, 24920064, 1.0, 416529.0, 25952256, 4607.0, 416591.0, 357376, -41942.0, -1.0, 401408, -104855.0, 315036.0, 2686924, 416591.0, 421998.0, 346112,
9, 1.0, 416501.0, 24920064, 1.0, 416529.0, 25952256, 4607.0, 416591.0, 357376, -41942.0, -1.0, 401408, -104855.0, 315036.0, 2686924, 416591.0, 421998.0, 346112,
10, 1.0, 416501.0, 24920064, 1.0, 416529.0, 25952256, 4607.0, 416591.0, 357376, -41942.0, -1.0, 401408, -104855.0, 315036.0, 2686924, 416591.0, 421998.0, 346112,
11, 1.0, 416501.0, 24920064, 1.0, 416529.0, 25952256, 4607.0, 416591.0, 357376, -41942.0, -1.0, 401408, -104855.0, 315036.0, 2686924, 416591.0, 421998.0, 346112,
12, 1.0, 113505.0, 5308416, 1.0, 113553.0, 7077888, 4607.0, 113615.0, 76800, -10486.0, -1.0, 100352, -104855.0, 87804.0, 2686924, 113615.0, 114766.0, 73728,
13, 1.0, 113505.0, 5308416, 1.0, 113553.0, 7077888, 4607.0, 113615.0, 76800, -10486.0, -1.0, 100352, -104855.0, 87804.0, 2686924, 113615.0, 114766.0, 73728,
14, 1.0, 113505.0, 5308416, 1.0, 113553.0, 7077888, 4607.0, 113615.0, 76800, -10486.0, -1.0, 100352, -104855.0, 87804.0, 2686924, 113615.0, 114766.0, 73728,
15, 1.0, 113505.0, 5308416, 1.0, 113553.0, 7077888, 4607.0, 113615.0, 76800, -10486.0, -1.0, 100352, -104855.0, 87804.0, 2686924, 113615.0, 114766.0, 73728,
16, 1.0, 40706.0, 32768, 1.0, 40769.0, 2097152, 574.0, 40831.0, 12288, -2098.0, -1.0, 512, -104855.0, 40760.0, 2097152, 40831.0, 40894.0, 4096,
17, 1.0, 40706.0, 32768, 1.0, 40769.0, 2097152, 574.0, 40831.0, 12288, -2098.0, -1.0, 512, -104855.0, 40760.0, 2097152, 40831.0, 40894.0, 4096,
18, 1.0, 10082.0, 8192, 1.0, 10121.0, 512000, 574.0, 10183.0, 3048, -2098.0, -1.0, 512, -52428.0, -1.0, 512000, 10207.0, 10222.0, 1000,
